Name,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score
Densha De Go! 2,1999.0,Simulation,Taito,0.41,,
Medal of Honor Heroes 2,2007.0,Shooter,Electronic Arts,0.41,73.0,7.6
Top Spin 4,2011.0,Sports,Take-Two Interactive,0.41,84.0,8.2
Band Hero,2009.0,Misc,Activision,0.41,,4.4
Armored Core 2: Another Age,2001.0,Simulation,Metro 3D,0.41,75.0,8.8
Buzz! Junior: Jungle Party,2006.0,Misc,Sony Computer Entertainment,0.41,,
God Eater 2: Rage Burst,2015.0,Role-Playing,Namco Bandai Games,0.41,,8.1
Mortal Kombat: Deadly Alliance,2002.0,Fighting,Midway Games,0.41,81.0,8.7
AKB1/48: Idol to Koishitara...,2010.0,Misc,Namco Bandai Games,0.41,,
Pro Pinball,1996.0,Misc,Empire Interactive,0.41,,
NiGHTS: Journey of Dreams,2007.0,Platform,Sega,0.41,69.0,8.5
'98 Koshien,1998.0,Sports,Magical Company,0.41,,
Harvest Moon: Grand Bazaar,2008.0,Simulation,Rising Star Games,0.41,,
NBA 2K9,2008.0,Sports,Take-Two Interactive,0.41,,8
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),2001.0,Misc,Konami Digital Entertainment,0.41,,
Hatsune Miku: Project Diva 2nd,2010.0,Misc,Sega,0.41,,
Marvel: Ultimate Alliance 2,2009.0,Role-Playing,Activision,0.41,,4.6
Monster Jam: Urban Assault,2008.0,Racing,Activision,0.41,,7.8
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,0.41,78.0,4.5
Mario no Super Picross,1995.0,Puzzle,Nintendo,0.41,,
UEFA Euro 2008 Austria-Switzerland,2008.0,Sports,Electronic Arts,0.41,,
"Ed, Edd n Eddy: The Mis-Edventures",2005.0,Platform,Midway Games,0.41,50.0,7.6
Jikkyou Powerful Pro Yakuu '94,1994.0,Sports,Konami Digital Entertainment,0.41,,
Disney's Tarzan Untamed,2001.0,Platform,Ubisoft,0.41,59.0,7.1
WWE All Stars,2011.0,Fighting,THQ,0.41,75.0,6.4
Green Day: Rock Band,2010.0,Misc,MTV Games,0.41,75.0,6.6
Harry Potter and the Deathly Hallows - Part 1,2010.0,Action,Electronic Arts,0.41,56.0,6
Resistance: Burning Skies,2012.0,Shooter,Sony Computer Entertainment,0.41,60.0,6.8
Battlefield 2: Modern Combat,2006.0,Shooter,Electronic Arts,0.41,77.0,7.3
Rocksmith 2014,2014.0,Misc,Ubisoft,0.41,,
Knockout Kings 2001,2000.0,Fighting,Electronic Arts,0.41,84.0,8.5
From Russia With Love,2005.0,Action,Electronic Arts,0.41,69.0,7.6
Fantastic Pets,2011.0,Simulation,THQ,0.41,66.0,7.5
BlazBlue: Continuum Shift,2010.0,Fighting,PQube,0.41,87.0,8
Duke Nukem Forever,2011.0,Shooter,Take-Two Interactive,0.41,54.0,5.7
Dragon Quest X,2013.0,Role-Playing,Square Enix,0.41,,
Minority Report: Everybody Runs,2002.0,Action,Activision,0.41,50.0,5
Katamari Forever,2009.0,Puzzle,Namco Bandai Games,0.4,74.0,8.1
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,2003.0,Misc,Sony Computer Entertainment,0.4,,
NFL GameDay 2002,2001.0,Sports,Sony Computer Entertainment,0.4,62.0,8.8
Pengo,1983.0,Adventure,Atari,0.4,,
Spider-Man: Web of Shadows,2008.0,Action,Activision,0.4,68.0,8.6
Naughty Bear,2010.0,Action,505 Games,0.4,43.0,5.6
Mouse Trap,1981.0,Action,Coleco,0.4,,
Tak and the Power of Juju,2003.0,Platform,THQ,0.4,71.0,8.2
Six Flags Fun Park,2009.0,Misc,Ubisoft,0.4,43.0,7.1
Beowulf: The Game,2007.0,Action,Ubisoft,0.4,51.0,4.7
NBA Jam,2010.0,Sports,Electronic Arts,0.4,79.0,8.5
Rune Factory 3: A Fantasy Harvest Moon,2009.0,Role-Playing,Rising Star Games,0.4,77.0,8.6
Dragon Quest Builders: Revive Alefgard,2016.0,Role-Playing,Square Enix,0.4,,
Tales of Zestiria,2015.0,Role-Playing,Namco Bandai Games,0.4,72.0,6.8
Metal Gear Solid: The Legacy Collection,2013.0,Adventure,Konami Digital Entertainment,0.4,93.0,9
Medarot: Kabuto / Kuwagata Version,1997.0,Role-Playing,Imagineer,0.4,,
NBA 2K10,2009.0,Sports,Take-Two Interactive,0.4,,8.6
Defender,2002.0,Misc,Midway Games,0.4,73.0,7.8
TNA iMPACT!,2008.0,Fighting,Midway Games,0.4,,
Taiko no Tatsujin Wii: Dodon to 2 Yome!,2009.0,Misc,Namco Bandai Games,0.4,,
Congo Bongo,1982.0,Action,Sega,0.4,,
Gauntlet: Seven Sorrows,2005.0,Role-Playing,Midway Games,0.4,59.0,5.7
Harry Potter: Quidditch World Cup,2003.0,Sports,Electronic Arts,0.4,68.0,8.5
Warriors Orochi 2 (JP sales),2008.0,Action,Tecmo Koei,0.4,,
Cabela's Big Game Hunter 2010,2009.0,Sports,Activision Value,0.4,,5
Overlord,2007.0,Strategy,Codemasters,0.4,76.0,8.3
The Chronicles of Narnia: Prince Caspian,2008.0,Action,Disney Interactive Studios,0.4,67.0,7
Life is Strange,2016.0,Adventure,Square Enix,0.4,85.0,8.6
Pet in TV,1997.0,Strategy,Sony Computer Entertainment,0.4,,
Battalion Wars,2005.0,Strategy,Nintendo,0.4,76.0,8.8
NBA ShootOut 2000,1999.0,Sports,989 Studios,0.4,,
Samurai Shodown,1994.0,Fighting,Takara,0.4,,
Mass Effect Trilogy,2012.0,Action,Electronic Arts,0.4,,7.4
The Wonderful 101,2013.0,Action,Nintendo,0.4,78.0,8.5
Fighting Vipers,1995.0,Fighting,Sega,0.4,,
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,2009.0,Action,Konami Digital Entertainment,0.4,,
NCAA GameBreaker 2000,1999.0,Sports,989 Studios,0.4,,
Asura's Wrath,2012.0,Action,Capcom,0.4,71.0,7.4
The Legend of Spyro: Dawn of the Dragon,2008.0,Platform,Vivendi Games,0.4,,7.1
AKB1/48: Idol to Guam de Koishitara...,2011.0,Misc,Namco Bandai Games,0.4,,
NFL Quarterback Club 2000,1999.0,Sports,Acclaim Entertainment,0.4,,
Mortal Kombat Mythologies: Sub-Zero,1997.0,Fighting,Midway Games,0.4,,
RR64: Ridge Racer 64,1999.0,Racing,Nintendo,0.4,,
Top Gear Rally,1997.0,Racing,Kemco,0.4,,
18 Wheeler: American Pro Trucker,2001.0,Racing,Acclaim Entertainment,0.4,61.0,5.7
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009.0,Shooter,Activision,0.4,,
Wall-E,2008.0,Platform,THQ,0.4,51.0,5
Atari Anthology,2004.0,Misc,Atari,0.4,66.0,4.3
FIFA 14,2013.0,Sports,Electronic Arts,0.4,87.0,4.6
Bugs Bunny: Lost in Time,1999.0,Platform,Infogrames,0.4,,
MLB 2006,2005.0,Sports,Sony Computer Entertainment,0.4,81.0,9
Ragnarok Odyssey,2012.0,Role-Playing,GungHo,0.4,66.0,7.8
The Gunstringer,2011.0,Shooter,Microsoft Game Studios,0.4,77.0,8.1
Rocket Power: Dream Scheme,2001.0,Action,THQ,0.4,,
Marvel: Ultimate Alliance,2006.0,Role-Playing,Activision,0.4,73.0,7.3
LEGO Harry Potter: Years 5-7,,Action,Warner Bros. Interactive Entertainment,0.4,71.0,6.5
My Virtual Tutor: Reading Adventure First to Second Grade,2009.0,Misc,Mentor Interactive,0.4,,
MX vs. ATV Unleashed,2005.0,Racing,THQ,0.4,80.0,8.3
FIFA Soccer 13,2012.0,Action,Electronic Arts,0.4,86.0,6.6
Rampage: Total Destruction,2006.0,Action,Midway Games,0.4,57.0,6.7
The Urbz: Sims in the City,2004.0,Simulation,Electronic Arts,0.4,73.0,8.4
Road Rash: Jailbreak,1999.0,Racing,Electronic Arts,0.4,,
Disney Sing It! High School Musical 3: Senior Year,2008.0,Misc,Disney Interactive Studios,0.4,,
Mother 3,2006.0,Role-Playing,Nintendo,0.4,,
You Don't Know Jack,1999.0,Misc,Vivendi Games,0.4,,
WWE SmackDown! vs. RAW 2006,2005.0,Fighting,THQ,0.4,81.0,8.5
Mafia II,2010.0,Action,Take-Two Interactive,0.4,77.0,7.9
Avatar: The Game,2009.0,Action,Ubisoft,0.4,,
Mystery Dungeon: Shiren the Wanderer,1995.0,Role-Playing,ChunSoft,0.4,,
Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.4,,7.2
Star Wars: Clone Wars,2002.0,Shooter,Activision,0.4,,
NBA Live 2002,2001.0,Sports,Electronic Arts,0.4,76.0,7.5
Sega Superstars Tennis,2008.0,Sports,Sega,0.4,67.0,7.4
Spore Hero,2009.0,Simulation,Electronic Arts,0.4,61.0,7.1
Boku no Natsuyasumi,2000.0,Adventure,Sony Computer Entertainment,0.4,,
I-Ninja,2003.0,Platform,Sony Computer Entertainment,0.4,73.0,8.3
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007.0,Action,Activision,0.4,,
Ghostbusters: The Video Game,2009.0,Action,Atari,0.4,55.0,6
Command & Conquer,1996.0,Strategy,Virgin Interactive,0.4,,
Harvest Moon: Save the Homeland,,Simulation,Unknown,0.4,76.0,8.8
SD Gundam G Generation Seed,2004.0,Strategy,Namco Bandai Games,0.4,,
Call of Duty: Finest Hour,2004.0,Shooter,Activision,0.4,74.0,8.9
Naruto: Path of the Ninja,2007.0,Role-Playing,D3Publisher,0.4,57.0,7.2
Tales of Phantasia,1995.0,Role-Playing,Namco Bandai Games,0.4,,
Speed Racer: The Videogame,2008.0,Racing,Warner Bros. Interactive Entertainment,0.4,,
Castlevania: Portrait of Ruin,2006.0,Platform,Konami Digital Entertainment,0.4,85.0,8.3
Suzuki TT Superbikes,2005.0,Racing,Jester Interactive,0.4,71.0,8.5
Rumble Roses,2004.0,Fighting,Konami Digital Entertainment,0.39,66.0,8.5
Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.39,,
Tomb Raider: Anniversary,2007.0,Action,Eidos Interactive,0.39,77.0,8.3
Sherlock Holmes: The Mystery of the Mummy,2009.0,Adventure,Focus Home Interactive,0.39,57.0,3.1
Fantastic Four: Rise of the Silver Surfer,2007.0,Action,Take-Two Interactive,0.39,36.0,6.4
Ultimate Spider-Man,2005.0,Action,Activision,0.39,77.0,7.4
Juiced 2: Hot Import Nights,2007.0,Racing,THQ,0.39,66.0,6.7
Star Wars The Clone Wars: Republic Heroes,2009.0,Action,LucasArts,0.39,,5.3
NHL 99,1998.0,Sports,Electronic Arts,0.39,,
LEGO The Lord of the Rings,2012.0,Action,Warner Bros. Interactive Entertainment,0.39,61.0,7.6
Danball Senki,2011.0,Role-Playing,Level 5,0.39,,
No More Heroes 2: Desperate Struggle,2010.0,Action,Rising Star Games,0.39,84.0,8.8
Bloody Roar,1997.0,Fighting,Virgin Interactive,0.39,,
Bump 'n' Jump,1982.0,Racing,Mattel Interactive,0.39,,
Mobile Suit Gundam: Lost War Chronicles,2002.0,Shooter,Namco Bandai Games,0.39,,
Legends of WrestleMania,2009.0,Fighting,THQ,0.39,71.0,6.3
Fishing Resort,2011.0,Sports,Namco Bandai Games,0.39,69.0,7
Armored Core V,2012.0,Simulation,Namco Bandai Games,0.39,65.0,7.3
NBA Live 09,2008.0,Sports,Electronic Arts,0.39,,7.4
Saints Row IV,2015.0,Action,Deep Silver,0.39,,
Mass Effect 2,2010.0,Role-Playing,Electronic Arts,0.39,94.0,8.8
Harry Potter and the Deathly Hallows - Part 1,2010.0,Action,Electronic Arts,0.39,38.0,2.8
The House of The Dead III,2002.0,Shooter,Sega,0.39,72.0,7.3
Project X Zone,2012.0,Role-Playing,Namco Bandai Games,0.39,70.0,7.3
NBA Jam,2010.0,Sports,Electronic Arts,0.39,71.0,5.7
Fire Emblem: Fuuin no Tsurugi,2002.0,Role-Playing,Nintendo,0.39,,
Dishonored,2015.0,Action,Bethesda Softworks,0.39,,
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,0.39,87.0,8.6
NBA Jam,2010.0,Sports,Electronic Arts,0.39,75.0,7
Dancing with the Stars: We Dance!,2008.0,Misc,Activision,0.39,,
NBA Live 09,2008.0,Sports,Electronic Arts,0.39,,7.3
Laser Blast,1981.0,Action,Activision,0.39,,
Madden NFL Football,2011.0,Sports,Electronic Arts,0.39,49.0,5.3
Thrasher Presents: Skate and Destroy,1998.0,Sports,Take-Two Interactive,0.39,,
Donkey Konga 2,2004.0,Misc,Nintendo,0.39,69.0,6
SpongeBob's Truth or Square (US sales),2009.0,Action,THQ,0.39,,
Tear Ring Saga Yutona Eiyuu Senki,2001.0,Role-Playing,Enterbrain,0.39,,
Transformers: Fall of Cybertron,2012.0,Action,Activision,0.39,77.0,8.2
Alpha Protocol,2010.0,Role-Playing,Sega,0.39,63.0,7.2
Metal Gear Solid HD Edition,2012.0,Action,Konami Digital Entertainment,0.39,,
FIFA 12,2011.0,Sports,Electronic Arts,0.39,,
Taiko no Tatsujin Wii: Ketteiban,2011.0,Misc,Namco Bandai Games,0.39,,
SSX 3,2003.0,Sports,Electronic Arts,0.39,92.0,8.7
Combat of Giants: Dinosaurs 3D,2011.0,Strategy,Ubisoft,0.39,44.0,5.3
Madden NFL 2005,2004.0,Sports,Electronic Arts,0.39,79.0,7.6
All-Star Baseball 2000,1999.0,Sports,Acclaim Entertainment,0.39,,
Custom Robo V2,2000.0,Fighting,Nintendo,0.39,,
Extreme-G: XG2,1998.0,Racing,Acclaim Entertainment,0.39,,
BattleTanx: Global Assault,1999.0,Action,3DO,0.39,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,2009.0,Action,Square Enix,0.39,66.0,7.6
SpongeBob's Truth or Square (US sales),2009.0,Action,THQ,0.39,,
Until Dawn: Rush of Blood,2016.0,Adventure,Sony Computer Entertainment,0.39,72.0,8
Chibi-Robo! Plug into Adventure!,2005.0,Adventure,Nintendo,0.39,,
Sonic Lost World,2013.0,Platform,Sega,0.39,63.0,7.3
Super Monkey Ball: Step & Roll,2010.0,Action,Sega,0.39,,
Skylanders SWAP Force,2013.0,Platform,Activision,0.39,79.0,5.2
Iron Man 2,2010.0,Action,Sega,0.39,41.0,5.2
Jampack Winter 2003 (RP-T),2003.0,Misc,Sony Computer Entertainment,0.39,,
Star Wars The Clone Wars: Republic Heroes,2009.0,Action,LucasArts,0.39,43.0,6.3
Kengo: Master of Bushido,2000.0,Fighting,Ubisoft,0.39,62.0,8.4
Blood Omen 2,2002.0,Action,Eidos Interactive,0.39,67.0,8.8
Monopoly Streets,2010.0,Misc,Electronic Arts,0.39,64.0,6.1
Super Fire ProWrestling,1991.0,Fighting,Human Entertainment,0.39,,
Cabela's Dangerous Hunts 2,2005.0,Sports,Activision,0.39,,5.6
Condemned 2: Bloodshot,2008.0,Action,Sega,0.39,82.0,8.1
Chessmaster,2003.0,Misc,Ubisoft,0.39,79.0,7.3
Fatal Fury,1992.0,Fighting,Takara,0.39,,
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,2001.0,Role-Playing,Banpresto,0.39,,
The Darkness II,2012.0,Shooter,Take-Two Interactive,0.39,80.0,7.5
Ice Age 2: The Meltdown,2006.0,Platform,Vivendi Games,0.39,68.0,8
The Sims 2,2005.0,Simulation,Electronic Arts,0.39,58.0,7.5
Hitman: Blood Money,2006.0,Action,Eidos Interactive,0.39,82.0,8.7
Super Famista 3,1994.0,Sports,Namco Bandai Games,0.39,,
Advance Wars: Dual Strike,2005.0,Strategy,Nintendo,0.39,90.0,9
Auto Modellista,2002.0,Racing,Capcom,0.39,66.0,7.5
WipeOut 3 The Game,2012.0,Action,Activision,0.39,,
MLB 15: The Show,2015.0,Sports,Sony Computer Entertainment,0.39,,8.2
Tom Clancy's Ghost Recon 2: Summit Strike,2005.0,Shooter,Ubisoft,0.39,84.0,7.2
F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.39,,
Just Dance 2015,2014.0,Misc,Ubisoft,0.39,72.0,5.8
Robert Ludlum's The Bourne Conspiracy,,Action,Vivendi Games,0.39,70.0,7.6
Samurai Warriors Chronicles,2011.0,Action,Tecmo Koei,0.39,61.0,7.7
Airlock,1981.0,Action,Data Age,0.39,,
Tokimeki Memorial 2,1999.0,Simulation,Konami Digital Entertainment,0.39,,
Hooked! Again: Real Motion Fishing,2009.0,Sports,505 Games,0.39,,
One Piece: Unlimited World Red,2013.0,Action,Namco Bandai Games,0.39,75.0,7.6
EA Sports Active 2,2010.0,Sports,Electronic Arts,0.39,68.0,5.4
MotoGP 08,2008.0,Racing,Capcom,0.39,65.0,6
Red Faction: Armageddon,2011.0,Shooter,THQ,0.39,71.0,7
Harry Potter: Quidditch World Cup,2003.0,Sports,Electronic Arts,0.39,53.0,8.3
Dungeon Siege III,2011.0,Role-Playing,Square Enix,0.39,71.0,6.3
Evil Dead: Fistfull of Boomstick,2003.0,Action,THQ,0.38,,
Silent Hill: Homecoming,,Action,Konami Digital Entertainment,0.38,71.0,6.9
Triple Play 97,1996.0,Sports,Electronic Arts Victor,0.38,,
Sonic & All-Stars Racing Transformed,2012.0,Racing,Sega,0.38,,
Super Soccer,1991.0,Sports,Nintendo,0.38,,
Shin Megami Tensei: Nocturne,2003.0,Role-Playing,Ghostlight,0.38,82.0,8.7
Wario Land II (GBC),1998.0,Platform,Nintendo,0.38,,
San Francisco Rush: Extreme Racing,1997.0,Racing,GT Interactive,0.38,,
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,1998.0,Racing,Human Entertainment,0.38,,
Farming Simulator 2013,2013.0,Simulation,Focus Home Interactive,0.38,33.0,6.2
ESPN College Hoops 2K5,2004.0,Sports,Sega,0.38,86.0,8.3
Looney Tunes: Acme Arsenal,2007.0,Action,Warner Bros. Interactive Entertainment,0.38,38.0,3.9
SD Gundam G Generation Spirits,2007.0,Strategy,Namco Bandai Games,0.38,,
Dance Party: Pop Hits,2009.0,Misc,Nordic Games,0.38,,
Marvel: Ultimate Alliance,2006.0,Role-Playing,Activision,0.38,78.0,7.6
The Cat in the Hat,2005.0,Platform,Jack of All Games,0.38,,
Diner Dash: Sizzle & Serve,2007.0,Puzzle,Eidos Interactive,0.38,,
Shin Megami Tensei: Devil Survivor Overclocked,2011.0,Role-Playing,Ghostlight,0.38,78.0,8.2
NFL GameDay 2002,2001.0,Sports,Sony Computer Entertainment,0.38,51.0,4.6
Naruto: Clash of Ninja Revolution 2,2008.0,Fighting,Tomy Corporation,0.38,72.0,8.4
Turok: Evolution,2002.0,Shooter,Acclaim Entertainment,0.38,70.0,7
NCAA Football 08,2007.0,Sports,Electronic Arts,0.38,77.0,7.9
Jam Sessions: Sing and Play Guitar (US sales),2007.0,Misc,Ubisoft,0.38,,
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,2002.0,Strategy,Namco Bandai Games,0.38,,
Sega Superstars Tennis,2008.0,Sports,Sega,0.38,70.0,8.3
Headhunter,2002.0,Action,Sega,0.38,74.0,7.8
FIFA 14,2013.0,Sports,Electronic Arts,0.38,,4.3
Yoshi Touch & Go,2005.0,Platform,Nintendo,0.38,,
Viking: Battle for Asgard,2008.0,Action,Sega,0.38,65.0,7.4
Rock Band 4,2015.0,Misc,Harmonix Music Systems,0.38,78.0,6.3
Shin Megami Tensei: Devil Summoner,1995.0,Role-Playing,Atlus,0.38,,
Marvel Nemesis: Rise of the Imperfects,2005.0,Fighting,Electronic Arts,0.38,54.0,5.7
ESPN Extreme Games,1994.0,Sports,Sony Computer Entertainment,0.38,,
Brunswick Pro Bowling,2007.0,Sports,505 Games,0.38,52.0,5.4
Ninja: Shadow of Darkness,1998.0,Action,Eidos Interactive,0.38,,
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.38,,7.4
SD Gundam G Generation-F,2000.0,Strategy,Namco Bandai Games,0.38,,
Bratz: Rock Angelz,2005.0,Misc,THQ,0.38,60.0,5.1
FlatOut,2004.0,Racing,Empire Interactive,0.38,70.0,8.5
Phoenix Wright: Ace Attorney - Dual Destinies,2013.0,Adventure,Capcom,0.38,,
Battlefield 1,2016.0,Shooter,Electronic Arts,0.38,88.0,7.6
SSX 3,2003.0,Sports,Electronic Arts,0.38,92.0,8.7
Metal Gear Solid: Snake Eater 3D,2012.0,Action,Konami Digital Entertainment,0.38,78.0,7.8
Raving Rabbids: Travel in Time 3D,2011.0,Platform,Ubisoft,0.38,,
Lilo & Stitch 2: Hämsterviel Havoc,2004.0,Action,Disney Interactive Studios,0.38,,
LocoRoco,2006.0,Platform,Sony Computer Entertainment,0.38,83.0,8.7
Risk: Global Domination,2003.0,Strategy,Atari,0.38,60.0,8.8
Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.38,84.0,7.6
Mobile Suit Gundam version 2.0,1996.0,Action,Namco Bandai Games,0.38,,
FIFA 17,2016.0,Sports,Electronic Arts,0.38,,1.7
Grandia Xtreme,2002.0,Role-Playing,Enix Corporation,0.38,68.0,6.5
Final Fantasy Adventure,1991.0,Role-Playing,SquareSoft,0.38,,
The Incredible Hulk,2008.0,Action,Sega,0.38,50.0,6
Mercenaries 2: World in Flames,2008.0,Shooter,Electronic Arts,0.38,49.0,7.4
Saints Row: The Third,2011.0,Action,THQ,0.38,84.0,8.1
Ghost Trick: Phantom Detective,2010.0,Adventure,Capcom,0.38,83.0,9
Tokimeki Memorial: Forever with You,1996.0,Simulation,Konami Digital Entertainment,0.38,,
MediEvil II,1999.0,Action,Sony Computer Entertainment,0.38,,
Hunter: The Reckoning,2002.0,Action,Interplay,0.38,79.0,8.9
MX vs. ATV Untamed,2007.0,Racing,THQ,0.38,53.0,8.2
Rogue Trip: Vacation 2012,1998.0,Racing,GT Interactive,0.38,,
Phantasy Star Ø,2008.0,Role-Playing,Sega,0.38,,
Dawn of Discovery,2009.0,Simulation,Ubisoft,0.38,82.0,8.8
Dai-4-Ji Super Robot Taisen,1995.0,Strategy,Banpresto,0.38,,
Tales of Hearts,2013.0,Role-Playing,Namco Bandai Games,0.38,,
Get Fit with Mel B,2010.0,Sports,Black Bean Games,0.38,73.0,5.8
Pokemon Channel,2003.0,Adventure,Nintendo,0.38,55.0,6
Taiko no Tatsujin Portable DX,2011.0,Misc,Namco Bandai Games,0.38,,
Etrian Odyssey IV: Legends of the Titans,2012.0,Role-Playing,Atlus,0.38,,
Moto Racer World Tour,2000.0,Racing,Sony Computer Entertainment,0.38,,
Virtua Tennis 2009,2009.0,Sports,Sega,0.38,70.0,6.3
The Dog Island,2007.0,Adventure,Ubisoft,0.38,70.0,8.1
NCAA Final Four 2000,1999.0,Sports,989 Sports,0.38,,
Madagascar: Escape 2 Africa,2008.0,Action,Activision,0.38,56.0,5.8
Hangman,,Puzzle,Atari,0.38,,
Need for Speed: Nitro,2009.0,Racing,Electronic Arts,0.38,70.0,6.3
Naruto Shippuden: Ultimate Ninja Heroes 3,2009.0,Fighting,Namco Bandai Games,0.38,61.0,6.6
Cabela's Dangerous Hunts 2009,2008.0,Sports,Activision Value,0.38,,4.5
Dancing with the Stars: We Dance!,2008.0,Misc,Activision,0.38,,
Age of Empires III,2005.0,Strategy,Microsoft Game Studios,0.38,81.0,7.7
Gravitar,1982.0,Action,Atari,0.38,,
EyeToy Play 2,2004.0,Misc,Sony Computer Entertainment,0.38,78.0,7
Mobile Suit Gundam: Extreme VS Full Boost,2014.0,Fighting,Namco Bandai Games,0.38,,
Dance Dance Revolution Ultramix 3,2005.0,Simulation,Konami Digital Entertainment,0.38,75.0,8.6
LEGO Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.38,,4.8
WWE SmackDown vs. Raw 2011,2010.0,Fighting,THQ,0.38,,7.8
Pro Evolution Soccer 2011 3D,2011.0,Sports,Konami Digital Entertainment,0.38,73.0,6.7
Just Dance 2014,2013.0,Misc,Ubisoft,0.38,77.0,7.1
Wii Sports Club,2014.0,Sports,Nintendo,0.38,68.0,7
Harry Potter and the Prisoner of Azkaban,2004.0,Action,Electronic Arts,0.38,67.0,7.3
Paws & Claws: Pampered Pets,2009.0,Simulation,THQ,0.38,,
Peppa Pig: The Game,2009.0,Misc,Pinnacle,0.37,,
Skylanders Giants,2012.0,Action,Activision,0.37,80.0,6.9
GRID 2,2013.0,Racing,Codemasters,0.37,82.0,6.6
Solaris,1986.0,Shooter,Atari,0.37,,
Resident Evil Zero,2016.0,Action,Capcom,0.37,,
Super Dragon Ball Z,2006.0,Fighting,Atari,0.37,72.0,5.8
Scooby-Doo! and the Spooky Swamp,2010.0,Action,Warner Bros. Interactive Entertainment,0.37,,
The Golden Compass,,Action,Sega,0.37,28.0,4.1
Tobal 2,1997.0,Fighting,SquareSoft,0.37,,
Farming Simulator 2015,2015.0,Simulation,Koch Media,0.37,,
NBA 2K10,2009.0,Sports,Take-Two Interactive,0.37,,8.6
Persona 5,2016.0,Role-Playing,Atlus,0.37,,
Disney Sing It,2008.0,Misc,Disney Interactive Studios,0.37,54.0,3.5
Tiger Woods PGA Tour 09,2008.0,Sports,Electronic Arts,0.37,,4.3
Ultimate Spider-Man,2005.0,Action,Activision,0.37,76.0,7.2
Major League Baseball 2K6,2006.0,Sports,Spike,0.37,66.0,3.9
Imagine: Party Babyz,2008.0,Simulation,Ubisoft,0.37,,6.1
NBA 2K7,2006.0,Sports,Take-Two Interactive,0.37,80.0,7.4
Kileak: The DNA Imperative,1994.0,Shooter,Sony Computer Entertainment,0.37,,
Just Dance 4,2012.0,Misc,Ubisoft,0.37,66.0,7.8
Phantasy Star Portable 2: Infinity,2011.0,Role-Playing,Sega,0.37,,
"Monsters, Inc. Scream Arena",2002.0,Platform,THQ,0.37,39.0,4.7
Reel Fishing III,2003.0,Sports,Natsume,0.37,,7.8
Cabela's Deer Hunt 2005 Season,2004.0,Sports,Activision,0.37,,8.7
Need for Speed: Hot Pursuit,2010.0,Racing,Electronic Arts,0.37,86.0,6.7
Rampage: Total Destruction,2006.0,Action,Midway Games,0.37,51.0,7
High Heat Major League Baseball 2003,2002.0,Sports,3DO,0.37,84.0,7.9
Trivial Pursuit,2009.0,Misc,Electronic Arts,0.37,66.0,6.4
Super Formation Soccer 94,1994.0,Sports,Human Entertainment,0.37,,
Kingdom Under Fire: Circle of Doom,2007.0,Role-Playing,Microsoft Game Studios,0.37,55.0,5.9
Panzer Dragoon,1995.0,Shooter,Sega,0.37,,
Spider-Man: Friend or Foe,2007.0,Action,Activision,0.37,62.0,8.3
Yarudora Series Vol.1: Double Cast,1998.0,Adventure,Sony Computer Entertainment,0.37,,
EA Sports MMA,2010.0,Fighting,Electronic Arts,0.37,77.0,6.9
Guitar Hero On Tour: Modern Hits,2009.0,Misc,Activision,0.37,70.0,6.3
Quake 4,2005.0,Shooter,Activision,0.37,75.0,6.7
Tiger Woods PGA Tour 14,2013.0,Sports,Electronic Arts,0.37,74.0,3.8
Skate,2007.0,Sports,Electronic Arts,0.37,85.0,8.2
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,2000.0,Role-Playing,ChunSoft,0.37,,
Turok: Rage Wars,1999.0,Shooter,Acclaim Entertainment,0.37,,
Scooby-Doo! Classic Creep Capers,2000.0,Action,THQ,0.37,,
Rage,2011.0,Shooter,Bethesda Softworks,0.37,79.0,5.2
Dragonfire,1981.0,Action,Imagic,0.37,,
Custom Robo,2004.0,Role-Playing,Nintendo,0.37,65.0,8.1
Prince of Persia: The Forgotten Sands,2010.0,Action,Ubisoft,0.37,65.0,7.4
BioShock The Collection,2016.0,Shooter,Take-Two Interactive,0.37,84.0,8.5
Theatrhythm Final Fantasy: Curtain Call,2014.0,Misc,Square Enix,0.37,83.0,8.2
