name,former_fed
"Vasylchuk, Diana",UKR
"Constantinou, Peter",ENG
"Khademalsharieh, Sarasadat",IRI
"Martinez Mulet, Dario Leonel",CUB
"Fluvia Poyatos, Jordi",ESP
"Archibald, Treskole",BAR
"Britschgi, Carmen",GER
"Farrand, Tom",JCI
"Ryabukhin, Roman",RUS
"Yavorskyi, Yevhen",UKR
"Slivinsky, Maxim",UKR
"Maiffret, Patrick",FRA
"Vlatkovic, Milos",BIH
"Bednarczuk, Jakub",GER
"Budjav, Enkhjargal",GER
"Lisniuk, Anton",UKR
"Sagi, Elisha",ISR
"Zherebtsova, Alexandra",RUS
"Matskevich, Varvara",BLR
"Timofeeva, Darya Iv.",RUS
"Alexa, Cosmin-Alex",MLT
"Kushko, Dmitriy",UKR
"Bobadilla Viera, Jorge Samuel",VEN
"Rzayev, Bahruz",AZE
"Jumadilov, Arsen",KGZ
"Estrada Nieto, Julian",ESP
"Sjugirov, Sanan",RUS
"Sokyrko, Sofiia",UKR
"Kadric, Denis",BIH
Sreekarthika Velmurugan,IND
"Topchii, Gennadii",RUS
"Belke, Frank, Dr.",GER
"Sheinkman, Mikhail",RUS
"Toumpakaris, Grigorios Emmanouil",GRE
"Gonzalez Rodriguez, Jorge A.",COL
"Powell, Malcolm",JAM
"Kovacik, Oliver",ISL
"Tarasenko, Nazar",UKR
"Vus, Kateryna",UKR
"Klimenko, Timur",UKR
"Pastor Jorda, Nerea",ESP
"Machlowski, Slawomir",POL
"Shen, Zhiyuan",CHN
"Pascua, Jefferson A",PHI
"Suelo, Roberto Jr.",PHI
"Tew, Yao Zen Markis",MAS
"Bilogolovko, Anna",UKR
"Muratet Carmona, Julia",ESP
"Adam, Jamal",SUD
"Pawlijczuk, Damian",UKR
"Kiselev, Vitalii",FID
"Trussevich, Sergey",KAZ
"Cherniaiev, Tykhon",UKR
"Badrakova, Kseniya",RUS
"Ganguly Ganguly, Priyank",CHI
"Alidis, Myron",CZE
"Mehmetoglu, Eldar",AZE
"Triapishko, Alexandr",UKR
"Middelburg, Tom",NED
"Huseyinoglu, Alihan",UZB
"Turkova, Karolina",SVK
"Korchynskyi, Mykola",UKR
"Liu, Peilin",CHN
"Boncutiu, Andrei-Nicolae",ESP
"Iermito, Sebastian Dario",ARG
"Dizdarevic, Emir",BIH
"Taridonova, Katerina",UKR
Nancee Cheryl,DEN
"Novak, Vjekoslav",CRO
"Cherkasova, Marina",RUS
"Eropkin, Pavel",RUS
"Pogorelov, Ruslan",UKR
"Pala, Onurcan",TUR
"Ar, Orkun",TUR
"Federic, Pavol",SVK
"Sinev, Anton",FID
"Morazo, John Ranel",PHI
"Pacteau, Andre",FID
"Hoffman, Alejandro",URU
"Andreev, Konstantin",RUS
"Vigil, Lucas",ARG
"Kinoshita, Akira",USA
"RV, Adith",IND
Yashika Das,IND
"Grammatico, Sergio",ITA
"Budisin, Stanislav",SUI
"Bangiev, Anton",GER
"Cengija, Vanja",CRO
"Gubanov, Oleg",UKR
"Ten, Polina",RUS
"Kukushkin, Ivan",LAT
"Sarana, Alexey",RUS
"El Barbry, Sarah",FRA
"Mistrekov, Dobrynia",UKR
"Crick, Steve",ENG
"Nguyen, Ngoc Phuong Nghi",VIE
"Aksianevich, Yury",FID
"Baginskaite, Kamile",USA
"Korzun, Arsenii",FID
"Cujba, Anca-Claudia",ROU
"Pak, Daniil",RUS
"Sekaran, Adithya",IND
"Kosteniuk, Kristina",RUS
Chinguun Bayaraa,USA
"Theissl Pokorna, Regina",SVK
"Ady, Jonathan J.",HKG
"Iankin, Arseni",RUS
"Mirzoeva, Elmira",FID
"Aliakbarov, Anar",AZE
"Martyr, Reginald",TTO
"Gupta, Sara",IND
"Ince, Safiye Oyku",TUR
"Boronina, Kseniia",RUS
"Ivanin, Yehor",ITA
"Hall, Jesper",SWE
"Sushchov, Oleksandr",UKR
"Khan, Anastasiia",RUS
"Sriram, Aumkar",IND
"Iugina, Mariia",RUS
"Vernay, Clovis",FRA
"Prochazka, Peter",CZE
"Koo, Minjun",KOR
"Muratet Carmona, Alexandra",ESP
"Dornbusch, Tatiana",UKR
"Gnirenko, Vitaliy",RUS
"Tilicheev, Viacheslav",RUS
"Melikian, Nune",RUS
"Trofimov-Malyshkin, Valent",UKR
"Lutsenko, Olena",UKR
"Vyas, Miransh Purven",IND
"Sipka, Mladen",SRB
"Lakatos, Tomas",SVK
"Lappe, Manfred",GER
"Jain, Kamal",IND
"Zhizmer, Yuri",UKR
"Aghabekian, Liana",ARM
"Kaganskiy, Gleb",RUS
Tanvi Trivedi,IND
"Ruzhansky, Elias",ENG
"Gon, Andrei",RUS
"Atri, Jamshid",IRI
"Yarmolenko, Roman",UKR
"Kharitonov, Sergei",FID
"Gelip, Ioana",ROU
"Salmin, Vitaliy",RUS
"Padalka, Artem",UKR
"Fend, Juergen",GER
"Cascella, Mauro Matteo",USA
"Cortes Lizano, Jesus",ESP
"Kozusek, Daniel",CZE
"Baran, Peter",CZE
"Dobrosmyslov, Artem",RUS
"Cueto Fernandez, Manuel Alejandro",CUB
"Fedoseev, Vladimir",RUS
"Duque Amengual, Didier",COL
"Grimsholm, Ola",SWE
"Levochkina, Olivia",RUS
"Petrovskiy, Vadym",UKR
"Grigoriants, Sergey",RUS
"Krupa, Petr",FID
"Yaksin, Oleg",RUS
"Alienkin, Aleksander",RUS
"Bruzon Batista, Lazaro",CUB
"Mukazhanov, Mansur",KAZ
"Delchev, Aleksander",BUL
Aashish Jagan,IND
"Barriga Vera, Aaron Joshua",PER
"Guseva, Oksana",RUS
"Lomsadze, Irakly",UKR
"Gusev, Daniil",RUS
"Cooke, Suzie G.",WLS
"Nurmohamed, Sajid",ENG
"Vasyliuk, Mykhaylo",UKR
"Aroshidze, Levan",GEO
"Rodriguez Mora, Jaime",ESP
"Urhegyi, Marton",HUN
"Niezhentsev, Kyrylo",UKR
"Akrawi, Samir",NED
"Steiner, Adam",HUN
"Anderson, Gavin Albert",RSA
"Tomboline, David",ENG
"Hernandez Amargant, Jeremy Javier",VEN
"Kozlov, Gennady",RUS
"Tang, Yichen",CHN
"Zverev-Rodriguez, Vassily",FRA
"Tan, Luke Shao Min",THA
"Novikova, Marharyta",UKR
"Higgie, Charles L",WLS
"Cherniaev, Alexander",RUS
"Iclicki, Willy",MNC
"Marques, Gil",FRA
"Romic, Josip",BIH
"Urban, Sylvester",HUN
"Cordoba Roa, Angel Gabriel",VEN
Mlik Omar,TUN
"Matsenko, Andrei",RUS
"Tykhonov, Yurii",UKR
"Maximov, Oleg",FID
"Nisipeanu, Liviu-Dieter",GER
"Shariyazdanov, Andrey",RUS
"Aliev, Pavel",UKR
"Costalonga, Riccardo",ITA
"Deshpande,Sarthak",IND
Gautham Bharadwaj,IND
"Balog, Ronaldo",ROU
"Krieger, Markus",GER
"Goroshkov, Maksym",UKR
"Otazo Zambrano, David Gabriel",VEN
"Farani Sani, Hamid",IRI
"Wagner, Dinara",RUS
"Naiditsch, Arkadij",GER
"Ernst, Rolf",GER
"Hryshchenko, Kamila",UKR
"Chernyak, Viktoria",FID
"Tsyn, Igor",RUS
"Krivoborodov, Egor",RUS
"Peric, David M",SRB
"Gumireddy, Sanjay",ENG
"Lesbros, Bernard",FRA
"Rachapudi, Sai Sri Hamsika",HKG
"Vulevic, Vjekoslav",MNE
"Samanta, Neelansh",IND
"Galperin, Platon",UKR
"Gritsch, Borbala",HUN
"Sertic, Darko",USA
"Peng, Li Min",UKR
