Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Year
27,1,Bachelor's Degree,Back end Developer,3,85000,UK,False,2015
46,1,PhD,Senior Project Engineer,14,180000,Australia,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,UK,False,2015
43,1,PhD,Senior Project Engineer,13,185000,USA,False,2017
35,1,Bachelor's Degree,Back end Developer,8,140000,Australia,False,2016
29,0,Master's Degree,Back end Developer,3,90000,Canada,False,2015
40,0,PhD,Senior Software Engineer,12,160000,USA,False,2017
35,1,Bachelor's Degree,Full Stack Engineer,8,145000,UK,False,2016
41,1,PhD,Senior Project Engineer,13,185000,UK,True,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,Australia,False,2016
33,1,Bachelor's Degree,Front end Developer,6,110000,USA,False,2016
55,1,PhD,Software Engineer Manager,18,210000,China,False,2017
26,0,Master's Degree,Front end Developer,1,55000,Australia,False,2015
47,1,PhD,Senior Project Engineer,16,190000,USA,False,2017
44,0,PhD,Software Engineer Manager,11,165000,Canada,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,USA,False,2016
39,0,Master's Degree,Senior Software Engineer,11,160000,Canada,True,2017
32,1,Bachelor's Degree,Front end Developer,6,110000,Australia,False,2016
50,1,PhD,Software Engineer Manager,17,195000,Australia,True,2017
27,1,Bachelor's Degree,Back end Developer,3,85000,Canada,False,2015
46,1,PhD,Senior Project Engineer,14,180000,Australia,True,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,USA,True,2015
43,1,PhD,Senior Project Engineer,13,185000,China,True,2017
35,1,Bachelor's Degree,Back end Developer,8,140000,Australia,False,2016
29,0,Master's Degree,Back end Developer,3,90000,Canada,False,2015
40,0,PhD,Senior Software Engineer,12,160000,Australia,False,2017
35,1,Bachelor's Degree,Full Stack Engineer,8,145000,Canada,False,2016
41,1,PhD,Senior Project Engineer,13,185000,Australia,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,UK,False,2016
33,1,Bachelor's Degree,Front end Developer,6,110000,Australia,False,2016
55,1,PhD,Software Engineer Manager,18,210000,UK,False,2017
26,0,Master's Degree,Front end Developer,1,55000,USA,False,2015
47,1,PhD,Senior Project Engineer,16,190000,Australia,False,2017
44,0,PhD,Software Engineer Manager,11,165000,China,True,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,China,False,2016
39,0,Master's Degree,Senior Software Engineer,11,160000,Australia,False,2017
32,1,Bachelor's Degree,Front end Developer,6,110000,USA,True,2016
50,1,PhD,Software Engineer Manager,17,195000,Australia,False,2017
27,1,Bachelor's Degree,Back end Developer,3,85000,Canada,False,2015
46,1,PhD,Senior Project Engineer,14,180000,UK,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,UK,True,2015
43,1,PhD,Senior Project Engineer,13,185000,Australia,False,2017
35,1,Bachelor's Degree,Back end Developer,8,140000,China,False,2016
29,0,Master's Degree,Back end Developer,3,90000,Australia,True,2015
40,0,PhD,Senior Software Engineer,12,160000,Australia,True,2017
35,1,Bachelor's Degree,Full Stack Engineer,8,145000,China,True,2016
41,1,PhD,Senior Project Engineer,13,185000,Australia,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,UK,True,2016
33,1,Bachelor's Degree,Front end Developer,6,110000,USA,False,2016
55,1,PhD,Software Engineer Manager,18,210000,USA,False,2017
26,0,Master's Degree,Front end Developer,1,55000,UK,False,2015
47,1,PhD,Senior Project Engineer,16,190000,USA,False,2017
44,0,PhD,Software Engineer Manager,11,165000,China,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,UK,False,2016
39,0,Master's Degree,Senior Software Engineer,11,160000,Australia,False,2017
32,1,Bachelor's Degree,Front end Developer,6,110000,USA,False,2016
50,1,PhD,Software Engineer Manager,17,195000,China,True,2017
27,1,Bachelor's Degree,Back end Developer,3,85000,Australia,False,2015
46,1,PhD,Senior Project Engineer,14,180000,Canada,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,Canada,False,2015
43,1,PhD,Senior Project Engineer,13,185000,Australia,False,2017
35,1,Bachelor's Degree,Back end Developer,8,140000,Australia,False,2016
29,0,Master's Degree,Back end Developer,3,90000,Australia,False,2015
40,0,PhD,Senior Software Engineer,12,160000,China,False,2017
35,1,Bachelor's Degree,Full Stack Engineer,8,145000,UK,False,2016
41,1,PhD,Senior Project Engineer,13,185000,Canada,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,China,False,2016
33,1,Bachelor's Degree,Front end Developer,6,110000,Canada,False,2016
55,1,PhD,Software Engineer Manager,18,210000,USA,True,2017
26,0,Master's Degree,Front end Developer,1,55000,Australia,False,2015
47,1,PhD,Senior Project Engineer,16,190000,USA,False,2017
44,0,PhD,Software Engineer Manager,11,165000,Canada,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,Australia,False,2016
39,0,Master's Degree,Senior Software Engineer,11,160000,Canada,True,2017
32,1,Bachelor's Degree,Front end Developer,6,110000,Canada,False,2016
50,1,PhD,Software Engineer Manager,17,195000,USA,True,2017
27,1,Bachelor's Degree,Back end Developer,3,85000,USA,False,2015
46,1,PhD,Senior Project Engineer,14,180000,USA,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,Australia,True,2015
43,1,PhD,Senior Project Engineer,13,185000,Australia,True,2017
35,1,Bachelor's Degree,Back end Developer,8,140000,USA,False,2016
29,0,Master's Degree,Back end Developer,3,90000,USA,False,2015
40,0,PhD,Senior Software Engineer,12,160000,China,False,2017
35,1,Bachelor's Degree,Full Stack Engineer,8,145000,China,False,2016
41,1,PhD,Senior Project Engineer,13,185000,USA,False,2017
30,1,Master's Degree,Full Stack Engineer,5,105000,Australia,True,2016
33,1,Bachelor's Degree,Front end Developer,6,110000,Australia,False,2016
55,1,PhD,Software Engineer Manager,18,210000,China,False,2017
31,1,Bachelor's Degree,Front end Developer,6,115000,Australia,False,2016
42,0,Master's Degree,Software Engineer Manager,13,170000,Australia,False,2017
27,0,Bachelor's Degree,Back end Developer,3,80000,Canada,False,2015
51,1,PhD,Senior Project Engineer,19,200000,UK,False,2017
34,0,Master's Degree,Full Stack Engineer,7,130000,Australia,True,2016
38,1,Bachelor's Degree,Software Engineer Manager,11,155000,Canada,False,2017
29,1,Bachelor's Degree,Front end Developer,5,105000,China,True,2016
43,0,PhD,Senior Project Engineer,14,190000,Australia,False,2017
36,1,Master's Degree,Back end Developer,8,140000,USA,False,2016
48,1,PhD,Software Engineer Manager,16,185000,Australia,False,2017
35,0,Bachelor's Degree,Full Stack Engineer,8,145000,Australia,True,2016
30,0,Master's Degree,Front end Developer,4,90000,China,False,2015
50,1,PhD,Senior Project Engineer,18,195000,Australia,False,2017
29,1,Bachelor's Degree,Back end Developer,4,95000,USA,False,2015
41,1,Master's Degree,Software Engineer Manager,13,170000,China,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,UK,False,2016
45,1,PhD,Senior Project Engineer,16,185000,UK,False,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,USA,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,USA,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,UK,False,2016
46,1,PhD,Senior Project Engineer,15,180000,Canada,True,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,Canada,False,2015
42,1,PhD,Software Engineer Manager,14,190000,UK,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,False,2016
49,0,PhD,Senior Project Engineer,17,195000,Australia,False,2017
36,1,Master's Degree,Back end Developer,9,150000,Canada,True,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
45,1,PhD,Software Engineer Manager,16,185000,Canada,True,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,Canada,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,USA,False,2016
46,1,PhD,Senior Project Engineer,15,180000,USA,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,Australia,False,2015
42,1,PhD,Software Engineer Manager,14,190000,China,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
49,0,PhD,Senior Project Engineer,17,195000,USA,True,2017
36,1,Master's Degree,Back end Developer,9,150000,UK,True,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,USA,False,2016
45,1,PhD,Software Engineer Manager,16,185000,UK,True,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,UK,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,USA,False,2016
46,1,PhD,Senior Project Engineer,15,180000,USA,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,UK,False,2015
42,1,PhD,Software Engineer Manager,14,190000,Australia,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
49,0,PhD,Senior Project Engineer,17,195000,Canada,False,2017
36,1,Master's Degree,Back end Developer,9,150000,China,False,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,USA,True,2016
45,1,PhD,Software Engineer Manager,16,185000,USA,False,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,Canada,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Australia,False,2016
46,1,PhD,Senior Project Engineer,15,180000,Canada,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,UK,False,2015
42,1,PhD,Software Engineer Manager,14,190000,China,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
49,0,PhD,Senior Project Engineer,17,195000,UK,False,2017
36,1,Master's Degree,Back end Developer,9,150000,Australia,False,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
45,1,PhD,Software Engineer Manager,16,185000,USA,False,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,China,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,China,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Canada,False,2016
46,1,PhD,Senior Project Engineer,15,180000,China,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,USA,False,2015
42,1,PhD,Software Engineer Manager,14,190000,Australia,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,False,2016
49,0,PhD,Senior Project Engineer,17,195000,Canada,False,2017
36,1,Master's Degree,Back end Developer,9,150000,Canada,False,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,False,2016
45,1,PhD,Software Engineer Manager,16,185000,China,False,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,Australia,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Canada,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,UK,False,2016
46,1,PhD,Senior Project Engineer,15,180000,USA,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,Australia,True,2015
42,1,PhD,Software Engineer Manager,14,190000,Australia,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,False,2016
49,0,PhD,Senior Project Engineer,17,195000,Canada,True,2017
36,1,Master's Degree,Back end Developer,9,150000,UK,False,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,USA,False,2016
45,1,PhD,Software Engineer Manager,16,185000,UK,True,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,Australia,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Australia,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,USA,False,2016
46,1,PhD,Senior Project Engineer,15,180000,UK,True,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,USA,False,2015
42,1,PhD,Software Engineer Manager,14,190000,UK,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,UK,False,2016
49,0,PhD,Senior Project Engineer,17,195000,USA,False,2017
36,1,Master's Degree,Back end Developer,9,150000,Australia,False,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,UK,False,2016
45,1,PhD,Software Engineer Manager,16,185000,Australia,False,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,Canada,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Australia,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Australia,False,2016
46,1,PhD,Senior Project Engineer,15,180000,Australia,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,China,False,2015
42,1,PhD,Software Engineer Manager,14,190000,UK,False,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,UK,True,2016
49,0,PhD,Senior Project Engineer,17,195000,Canada,True,2017
36,1,Master's Degree,Back end Developer,9,150000,UK,True,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,UK,False,2016
45,1,PhD,Software Engineer Manager,16,185000,UK,True,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,USA,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Canada,True,2016
46,1,PhD,Senior Project Engineer,15,180000,USA,False,2017
25,0,Bachelor's Degree,Front end Developer,1,55000,Australia,False,2015
42,1,PhD,Software Engineer Manager,14,190000,USA,True,2017
31,1,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,True,2016
49,0,PhD,Senior Project Engineer,17,195000,China,False,2017
36,1,Master's Degree,Back end Developer,9,150000,China,True,2016
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,False,2016
45,1,PhD,Software Engineer Manager,16,185000,Australia,False,2017
28,0,Bachelor's Degree,Front end Developer,2,65000,Australia,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Canada,False,2016
46,1,PhD,Senior Project Engineer,15,180000,China,False,2017
25,0,Bachelor's Degree,Front end Developer,1,550,UK,False,2015
29,1,Bachelor's Degree,Front end Developer,4,90000,Australia,True,2015
40,0,Master's Degree,Software Engineer Manager,12,160000,USA,False,2017
27,0,Bachelor's Degree,Back end Developer,3,80000,UK,True,2015
50,1,PhD,Senior Project Engineer,18,195000,UK,True,2017
33,0,Master's Degree,Full Stack Engineer,6,115000,Canada,True,2016
37,1,Bachelor's Degree,Software Engineer Manager,10,150000,UK,False,2017
28,1,Bachelor's Degree,Front end Developer,2,65000,UK,False,2015
44,0,PhD,Senior Project Engineer,14,190000,Australia,False,2017
35,1,Master's Degree,Back end Developer,8,140000,UK,True,2016
47,1,PhD,Software Engineer Manager,16,185000,Canada,False,2017
34,0,Bachelor's Degree,Full Stack Engineer,7,130000,China,False,2016
31,0,Master's Degree,Front end Developer,5,105000,UK,False,2016
51,1,PhD,Senior Project Engineer,19,200000,China,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,USA,True,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Canada,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,True,2016
45,1,PhD,Senior Project Engineer,16,185000,UK,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,Australia,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,China,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,Australia,True,2015
49,1,PhD,Senior Project Engineer,17,195000,USA,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,China,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,USA,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,Australia,False,2015
43,0,PhD,Senior Project Engineer,14,190000,Canada,True,2017
34,1,Master's Degree,Back end Developer,8,140000,Australia,False,2016
46,1,PhD,Software Engineer Manager,16,185000,UK,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,USA,False,2016
30,0,Master's Degree,Front end Developer,5,105000,UK,True,2016
50,1,PhD,Senior Project Engineer,19,200000,China,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,UK,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,USA,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,False,2016
45,1,PhD,Senior Project Engineer,16,185000,Australia,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,USA,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Canada,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,Canada,False,2015
49,1,PhD,Senior Project Engineer,17,195000,USA,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,Canada,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,USA,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,USA,True,2015
43,0,PhD,Senior Project Engineer,14,190000,Australia,False,2017
34,1,Master's Degree,Back end Developer,8,140000,Canada,True,2016
46,1,PhD,Software Engineer Manager,16,185000,Canada,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,False,2016
30,0,Master's Degree,Front end Developer,5,105000,UK,False,2016
50,1,PhD,Senior Project Engineer,19,200000,Canada,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,China,True,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,USA,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,False,2016
45,1,PhD,Senior Project Engineer,16,185000,UK,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,Canada,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,USA,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,USA,False,2015
49,1,PhD,Senior Project Engineer,17,195000,Australia,True,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,USA,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,Canada,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,USA,True,2015
43,0,PhD,Senior Project Engineer,14,190000,China,False,2017
34,1,Master's Degree,Back end Developer,8,140000,USA,False,2016
46,1,PhD,Software Engineer Manager,16,185000,Canada,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,False,2016
30,0,Master's Degree,Front end Developer,5,105000,Canada,True,2016
50,1,PhD,Senior Project Engineer,19,200000,Canada,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,USA,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,USA,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
45,1,PhD,Senior Project Engineer,16,185000,China,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,UK,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,China,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,UK,True,2015
49,1,PhD,Senior Project Engineer,17,195000,UK,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,USA,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,UK,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,China,True,2015
43,0,PhD,Senior Project Engineer,14,190000,USA,False,2017
34,1,Master's Degree,Back end Developer,8,140000,USA,True,2016
46,1,PhD,Software Engineer Manager,16,185000,Canada,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,USA,False,2016
30,0,Master's Degree,Front end Developer,5,105000,UK,False,2016
50,1,PhD,Senior Project Engineer,19,200000,USA,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,China,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Australia,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
45,1,PhD,Senior Project Engineer,16,185000,Canada,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,UK,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,China,True,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,Australia,True,2015
49,1,PhD,Senior Project Engineer,17,195000,UK,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,Canada,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,UK,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,UK,False,2015
43,0,PhD,Senior Project Engineer,14,190000,Australia,False,2017
34,1,Master's Degree,Back end Developer,8,140000,Canada,True,2016
46,1,PhD,Software Engineer Manager,16,185000,USA,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,False,2016
30,0,Master's Degree,Front end Developer,5,105000,Canada,True,2016
50,1,PhD,Senior Project Engineer,19,200000,USA,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Australia,True,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Canada,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,False,2016
45,1,PhD,Senior Project Engineer,16,185000,Australia,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,UK,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,China,False,2015
49,1,PhD,Senior Project Engineer,17,195000,USA,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,Australia,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,China,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,Australia,False,2015
43,0,PhD,Senior Project Engineer,14,190000,UK,True,2017
34,1,Master's Degree,Back end Developer,8,140000,USA,False,2016
46,1,PhD,Software Engineer Manager,16,185000,Australia,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,False,2016
30,0,Master's Degree,Front end Developer,5,105000,Australia,False,2016
50,1,PhD,Senior Project Engineer,19,200000,Canada,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Canada,True,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,UK,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,True,2016
45,1,PhD,Senior Project Engineer,16,185000,UK,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,China,False,2015
31,0,Bachelor's Degree,Front end Developer,6,110000,China,False,2016
37,1,Master's Degree,Software Engineer Manager,10,150000,Canada,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,USA,False,2015
50,1,PhD,Senior Project Engineer,18,195000,Australia,True,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,USA,True,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,China,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,USA,False,2015
43,0,PhD,Senior Project Engineer,14,190000,USA,False,2017
34,1,Master's Degree,Back end Developer,8,140000,UK,False,2016
46,1,PhD,Software Engineer Manager,16,185000,China,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,False,2016
30,0,Master's Degree,Front end Developer,5,105000,Canada,True,2016
50,1,PhD,Senior Project Engineer,19,200000,Australia,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Canada,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Canada,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,False,2016
45,1,PhD,Senior Project Engineer,16,185000,USA,True,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,USA,False,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Australia,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,China,False,2015
49,1,PhD,Senior Project Engineer,17,195000,Australia,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,USA,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,China,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,China,True,2015
43,0,PhD,Senior Project Engineer,14,190000,USA,False,2017
34,1,Master's Degree,Back end Developer,8,140000,UK,False,2016
46,1,PhD,Software Engineer Manager,16,185000,UK,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,China,False,2016
30,0,Master's Degree,Front end Developer,5,105000,UK,True,2016
50,1,PhD,Senior Project Engineer,19,200000,UK,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,China,True,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,USA,True,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,UK,False,2016
45,1,PhD,Senior Project Engineer,16,185000,Australia,True,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,China,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,USA,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,USA,False,2015
49,1,PhD,Senior Project Engineer,17,195000,Canada,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,USA,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,Australia,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,China,True,2015
43,0,PhD,Senior Project Engineer,14,190000,Australia,True,2017
34,1,Master's Degree,Back end Developer,8,140000,UK,False,2016
46,1,PhD,Software Engineer Manager,16,185000,China,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,China,True,2016
30,0,Master's Degree,Front end Developer,5,105000,USA,False,2016
50,1,PhD,Senior Project Engineer,19,200000,Canada,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,USA,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Australia,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,False,2016
45,1,PhD,Senior Project Engineer,16,185000,Canada,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,USA,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Australia,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,Australia,False,2015
49,1,PhD,Senior Project Engineer,17,195000,USA,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,UK,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,Australia,True,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,Canada,False,2015
43,0,PhD,Senior Project Engineer,14,190000,Australia,True,2017
34,1,Master's Degree,Back end Developer,8,140000,Canada,False,2016
46,1,PhD,Software Engineer Manager,16,185000,China,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,USA,False,2016
30,0,Master's Degree,Front end Developer,5,105000,China,True,2016
50,1,PhD,Senior Project Engineer,19,200000,Canada,False,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,China,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Canada,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,China,False,2016
45,1,PhD,Senior Project Engineer,16,185000,Canada,True,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,Canada,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,UK,False,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,USA,False,2015
49,1,PhD,Senior Project Engineer,17,195000,UK,False,2017
32,0,Master's Degree,Full Stack Engineer,6,115000,China,False,2016
36,1,Bachelor's Degree,Software Engineer Manager,8,135000,USA,False,2016
27,1,Bachelor's Degree,Front end Developer,2,65000,USA,False,2015
43,0,PhD,Senior Project Engineer,14,190000,China,True,2017
34,1,Master's Degree,Back end Developer,8,140000,USA,False,2016
46,1,PhD,Software Engineer Manager,16,185000,Australia,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,7,130000,Canada,True,2016
30,0,Master's Degree,Front end Developer,5,105000,China,False,2016
50,1,PhD,Senior Project Engineer,19,200000,Australia,True,2017
30,1,Bachelor's Degree,Back end Developer,5,100000,Australia,False,2016
42,1,Master's Degree,Software Engineer Manager,13,170000,Canada,False,2017
33,0,Bachelor's Degree,Full Stack Engineer,6,115000,UK,True,2016
45,1,PhD,Senior Project Engineer,16,185000,Australia,False,2017
29,0,Bachelor's Degree,Front end Developer,4,90000,UK,True,2015
39,0,Master's Degree,Software Engineer Manager,12,160000,Australia,True,2017
27,1,Bachelor's Degree,Back end Developer,3,80000,China,True,2015
49,1,PhD,Senior Project Engineer,17,195000,China,True,2017
